,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12477,38414573,最大18名宿泊可能!新宿､渋谷､池袋､上野､東京､お台場へ乗り換えなしでｱｸｾｽできる丸貸一戸建て,292741430,Aki,,Kita Ku,35.76608,139.72404,Entire home/apt,29996,2,0,,,1,88
2809,22069224,"402#New,Clean,Comfortable,Convenience,Free WIFI",158630187,Jian,,Sumida Ku,35.69042,139.79442,Hotel room,10035,1,45,08/09/2019,2.05,7,205
8205,32292271,"整层出租,最大8人,浅草上野秋葉原銀座直通,空港ﾊﾞｽ直通,千住大橋徒歩8分､北千住徒步11分",242383256,祐衣,,Adachi Ku,35.74582,139.79641999999998,Entire home/apt,11761,2,13,07/09/2019,3.61,1,23
4198,26171785,"6 min to Shinjuku center, House w/garden + parking",86666280,Yuko,,Shinjuku Ku,35.699290000000005,139.72517,Entire home/apt,40031,1,33,12/08/2019,2.15,3,205
8388,32533304,NEW OPEN池袋徒步6分钟 Free pocket WIFI,120667824,Mm,,Toshima Ku,35.73295,139.71612,Entire home/apt,11006,1,14,27/08/2019,2.08,7,109
5893,29109114,★Subway 2min Skytree･6min Asakusa★Pocket Wifi -103,131595566,Charles Family,,Sumida Ku,35.716609999999996,139.82406,Entire home/apt,8524,1,27,27/08/2019,2.36,8,132
9192,33452970,東京の中心新宿駅から7分､富士見ﾊｳｽ 富士見之家,252023353,美玲,,Suginami Ku,35.690909999999995,139.66579,Entire home/apt,8524,1,4,12/07/2019,0.69,4,225
3968,25787124,"1 bed use in a shared mix dormitory, obi Hostel",141952115,Obi,,Chuo Ku,35.6929,139.78139,Hotel room,3453,1,1,17/11/2018,0.09,46,179
12040,37894276,Center of Tokyo 4BR & paring downtown close to JR,3268251,Teresa,,Toshima Ku,35.742470000000004,139.71396000000001,Entire home/apt,26975,2,0,,,2,31
11570,37032562,Akira mama’s house,278439922,李,,Meguro Ku,35.634190000000004,139.71296,Entire home/apt,6582,2,0,,,1,42
419,8783754,New! near Sensoji Temple Free WiFi,43145433,武志,,Taito Ku,35.71649,139.79907,Entire home/apt,7769,2,183,19/09/2019,4.3,2,40
8057,32059515,Otsuka 5min|JR Yamanote|Max6|WIFI|OVO203,232659832,Akira,,Toshima Ku,35.72865,139.73266999999998,Entire home/apt,10035,1,15,25/09/2019,2.06,21,97
8419,32554990,Show prices  Bed in 10-Bed Mixed Dormitory Room,229209805,Hostel Bedgasm,,Taito Ku,35.72229,139.79006,Hotel room,3021,1,0,,,3,121
9496,33978489,WiFi無料&新宿まで2分!清潔､安全､Lovely Room!最大7人宿泊ok!,50630460,Yoshi,,Shinjuku Ku,35.70135,139.705,Entire home/apt,32370,3,13,20/08/2019,2.81,3,150
8343,32490278,Ikebukuro101,182946391,Iwase,,Toshima Ku,35.738,139.70956999999999,Entire home/apt,9927,2,2,12/04/2019,0.32,6,0
5310,28067765,Quiet and Modern Room near Shinjuk (Website hidden by Airbnb) 14,102770046,Ryo & Ai,,Shibuya Ku,35.67763,139.6866,Entire home/apt,19962,1,23,16/08/2019,1.79,8,170
1954,19554793,C中文可/温馨公寓/Asakusa Kaminarimon foot ring/Wi-Fi/3人OK,129690039,Hongyan,,Taito Ku,35.721740000000004,139.79679,Entire home/apt,3453,1,47,16/08/2019,1.76,4,89
245,6505073,(4) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Itabashi Ku,35.7602,139.71513000000002,Entire home/apt,4100,3,205,18/07/2019,3.98,8,319
11155,36258536,"东京龟户 独立单间102室 双人床宜住2人,秋叶原･新宿电车直达,去晴空塔･银座･迪士尼乐园近",264953365,Xuebin,,Koto Ku,35.69939,139.83283,Private room,7985,1,2,28/07/2019,0.8,8,298
9622,34156660,"new open(新房2间卧室)地铁直达新宿1分钟,方便到六本木､筑地､浅草､银座等各大景点",77254281,Polo,,Shibuya Ku,35.6854,139.68227,Private room,15969,1,1,04/05/2019,0.2,7,108
22,1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.736259999999994,139.85023999999999,Entire home/apt,11977,4,284,20/09/2019,3.8,8,66
89,3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67754,139.68062,Entire home/apt,10466,3,74,04/08/2019,1.23,8,297
4592,26959340,Near Ueno#Cozy Hotel#6min to Subway#40min airport,201500222,Kenta,,Bunkyo Ku,35.7301,139.76162,Entire home/apt,18019,1,57,29/08/2019,4.15,38,161
775,12498981,★Shibuya area♪Excellent access♪Free wifi,43474547,Yoshiko,,Shibuya Ku,35.683659999999996,139.70719,Entire home/apt,29996,1,156,17/03/2019,3.76,1,115
11752,37344115,[10mins->Shinbashi Sta.]1 bed in Mixed Dorm Room,281287553,Bnbplus Washinbashi,,Minato Ku,35.66337,139.7543,Hotel room,2698,1,0,,,1,0
8724,32887829,Newly Built☆Ikebukuro/Otsuka/1min to sta☆WIFI P304,97872282,Nami,,Toshima Ku,35.737770000000005,139.72535,Entire home/apt,7985,1,5,16/07/2019,0.81,15,362
7959,31931880,annual sale!5min to station! Ryokan for 3 ! IN-202,213704055,Natumi,,Shinjuku Ku,35.68884,139.68783,Hotel room,12948,1,1,11/03/2019,0.15,39,228
1166,15491845,walk distance to Shinjuku!/max11/WIFI#2M617B,17400367,Daniel,,Shinjuku Ku,35.6946,139.70962,Entire home/apt,22012,1,131,31/03/2019,3.7,9,88
10648,35488502,"@15[SHINJUKU 5mins]  Hotel SHU , 2guests ,wifi,701",152271580,Shu,,Shinjuku Ku,35.6918,139.71308,Entire home/apt,11006,1,1,22/08/2019,0.79,18,154
12370,38299144,"30 sec to Asakusa Sta! Nr Asakusa, Ueno★8ppl♪",14862393,Jun,,Taito Ku,35.71901,139.79693,Entire home/apt,15969,1,0,,,1,113
10902,35893209,ｾﾐﾀﾞﾌﾞﾙ禁煙 ゆったり広めのﾊﾞｽﾀﾌﾞ,260901735,Hibiyacityhotel,,Minato Ku,35.66485,139.75412,Private room,15753,1,0,,,4,252
